Time,LOND_NEWY_in,LOND_NEWY_out,AMST_BOST_in,AMST_BOST_out,AOFA_LOND_in,AOFA_LOND_out,CERN-513_WASH_in,CERN-513_WASH_out
01/10/2018 18:00,9562264645,1641366216,6936578827,5331003225,35609913112,41225822300,9793289940,5417152516
01/10/2018 19:00,10656576359,2451566397,7286308092,5477253251,27364260378,34353067309,8294198564,1572733899
01/10/2018 20:00,12179031920,1496853016,8204460948,5274843060,29220339102,35471045241,10146057511,4747963285
01/10/2018 21:00,12013104114,1578483637,9093257830,4293162702,28788025371,38746538246,11551419576,1766042525
01/10/2018 22:00,10741518526,1193972058,7501445515,3857579684,30503768378,32931811247,9470123387,1257939725
01/10/2018 23:00,19075582784,4767481554,5815283514,5438161014,31973933862,42194719918,11151526299,1437504056
01/11/2018 00:00,9981276620,2798488128,5947622190,4678905024,31641050682,54025599201,6149414165,1526033434
01/11/2018 01:00,12637454553,5527378964,6076192223,3610942938,36648984195,55549616547,8253492847,6005332165
01/11/2018 02:00,20139635106,1251346825,5512572137,2675598241,38524233503,34980231057,7320904366,1112688932
01/11/2018 03:00,19485089836,1410886444,5336279633,4037594749,39252825355,41048064275,2041815302,947281103.5
01/11/2018 04:00,16300009282,1797828428,5574599889,3942256266,32543592043,37915168682,1454430513,3830845090
01/11/2018 05:00,13349010527,2081842139,5242104261,3229251386,32127289944,32350362343,2199494258,2807317498
01/11/2018 06:00,9347440131,1828879061,5088718436,3012686704,37406423695,35537308543,2413177806,2012397504
01/11/2018 07:00,10103044619,1428176001,4887623667,4154399324,31215750551,34788253820,766485167.5,6588868316
01/11/2018 08:00,14534136967,1511246838,4926613338,3181136451,33067429899,25575914327,1231638285,10124655052
01/11/2018 09:00,12996669379,1670248735,5205495044,4210091419,66080472198,33179682637,3042996461,4598713384
01/11/2018 10:00,10211473518,1936540938,4360623844,8514249826,58130201425,34800408727,2042146487,5027733397
01/11/2018 11:00,11236504331,2048792498,4164267552,6312759671,29483832747,35773688723,2949324748,5178370768
01/11/2018 12:00,6569241091,1811142717,2557092244,3192360306,26587189821,32475403237,3523481752,2796826504
01/11/2018 13:00,8690895669,1490578910,2855421748,2814055847,25089850239,33440359668,1871898002,977316182.1
01/11/2018 14:00,5228028230,1591438155,5850998248,2255146385,21017197700,39797645457,1401328186,590118024.1
01/11/2018 15:00,6718119045,2261881564,6174313192,5382592314,28536256537,29946706695,1636862064,8153257129
01/11/2018 16:00,8153311686,5197654643,9292057435,5931298498,30549350713,27587429139,4678829783,1838331433
01/11/2018 17:00,7484782531,6758358831,7899036672,6411338696,23831310041,25694205997,7345324378,5688373703
01/11/2018 18:00,8732766437,6437662574,5279366530,6384441360,24059062414,25778392194,6834887314,3747157119
01/11/2018 19:00,8849790009,4889274479,4172332871,6970916660,24209219496,22747855445,3848533486,1448481944
01/11/2018 20:00,10196480281,4765351779,7364660176,8663308298,17970705353,20527627592,2071354962,3049643678
01/11/2018 21:00,9100931083,4564212259,9002180992,9245580221,24907227001,24131088549,2555061181,2685825817
01/11/2018 22:00,9940392257,6978945392,7049211524,8360358396,25189107468,25866037637,1702690501,3176982281
01/11/2018 23:00,4262933686,6158267528,6893153514,9748781014,22638426780,26020517657,1439111082,2368333194
01/12/2018 00:00,4382422184,6367608160,8947156921,10215422522,24806096367,24531785909,831481244.7,1574741947
01/12/2018 01:00,1995817384,4437821186,4643458817,2464118630,31544617642,24557824521,940038221.2,4202004167
01/12/2018 02:00,2101778187,5182707730,2607083571,3826104999,41059042834,23890707969,791054555.2,3819154488
01/12/2018 03:00,1459798734,8455965854,4913095504,5314010005,40510091624,21860311323,1417279394,2665217837
01/12/2018 04:00,4721214984,7341531167,6417091437,2443886439,48201490424,26592399065,881956527,2806988679
01/12/2018 05:00,7036628138,5223593006,2717904627,2260426594,46937390131,21537296836,944903916.3,768313669.2
01/12/2018 06:00,9705763773,7748709677,5095387184,1814366458,39553503819,19345873279,832277572.2,1117548079
